,line,Phrasal_Cmp,Clausal_Cmp,Implicit_Cmp,More_Cmp,ER_Cmp,answer_id,level_id,class_id,question_id,version,text_len,sentence_len,COLA_T5large,gpt2_target_surprisal,distilgpt2_target_surprisal,gptneo_target_surprisal,davinci002_target_surprisal,llama2_target_surprisal,gpt2_sent_surprisal,distilgpt2_sent_surprisal,gptneo_sent_surprisal,davinci002_sent_surprisal,llama2_sent_surprisal,gpt2_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,tag,Writing_Sample,Writing_Proficiency,target_issue_flag
0,0,0,0,1,0,1,124,4,g,5,1,100,14,1,9.95,11.8,9.63,7.515,11.09,4.23,5.23,3.54,4.27,4.44,14,14,14,,4,high,
1,1,1,0,0,1,0,200,4,g,22,1,215,15,1,5.98,4.64,5.45,4.921,4.79,2.72,2.83,2.69,3.39,2.58,16,16,16,0,4,high,
2,2,0,0,1,0,1,1310,4,g,131,1,120,19,1,5,6.28,4.87,5.586,1.68,4.59,4.77,4.82,4.68,4.54,18,18,18,,4,high,
3,3,0,0,1,1,0,1310,4,g,131,1,120,18,1,8.22,10.21,7.66,5.76,9.67,5.06,5.13,4.87,7.01,4.13,24,24,24,,4,high,
4,4,0,0,1,0,1,1415,4,g,137,1,204,17,0,8.78,9.17,8.85,4.319,9.69,4.64,4.61,4.61,4.75,4.46,17,17,17,,4,high,
5,5,0,0,1,0,1,1415,4,g,137,1,204,13,1,2.16,4.59,1.64,1.553,1.37,3.95,4.23,3.73,4.14,4.13,14,14,14,,4,high,
6,6,0,0,1,1,0,1415,4,g,137,1,204,19,0,5.03,5.6,5.94,3.626,6.92,4.28,4.39,4.23,4.44,4.24,20,20,20,,4,high,
7,7,1,0,0,0,1,1629,4,w,166,1,218,19,0,22.18,21.79,21.79,13.41,21.39,4.94,5.24,4.6,4.29,4.43,19,19,19,,4,high,
8,8,0,0,1,1,0,1629,4,w,166,1,218,20,1,4.69,4.69,4.85,2.284,2.89,5.01,5.32,4.78,5.04,4.45,22,22,22,,4,high,
9,9,0,0,1,0,1,2062,4,g,202,1,215,19,1,6.57,7.62,4.71,1.519,2.88,3.01,3.35,2.97,3.01,3.13,21,21,21,,4,high,
